00:Wily Beat
01:Stage Select
02:Boss Chosen
03:Game Over
04:Boss Beat
05:Cutman
06:Fireman
07:Fireman
08:Bombman
09:Elecman
0A:Gutsman
0B:Wily Boss
0C:Wily 1+2
0D:Boss Battle
0E:Ending
0F:Ice man
10:Wily 3+4
11:Wily Ship
12:Boss Defeated
13:Elec Beam
14:Buster Gun
15:Enemy Weapon
16:MM Crash
17:G-Block
18:Boss Gauge Fill
19:Landing Sound
1A:Bonus Sphere
1B:Hit By Enemy
1C:Boss Chosen
1D:Shot Reflect
1E:Elec Weapon
1F:Stage Select
20:MM Start
21:Clear Points
22:Weapon Select
23:Platform
24:Door
25:Cut Weapon
26:Cut SFX
27:Unknown
28:Earthquake
29:Big Eye SFX
2A:Iceman Gunshot
2B:Water
2C:Popping Block
2D:Fire 1
2E:Fire 2
2F:Unused
30:Wind
31:Zero Energy
32:Life
33:Nothing
