0,1,$156468,0,$10,World 1 Map
0,2,$1564F9,0,$10,World 2 Map
0,3,$15661A,0,$10,World 3 Map
0,4,$1567CB,0,$10,World 4 Map
0,5,$1568EC,0,$10,World 5 Map
0,6,$156A0D,0,$10,World 6 Map
0,7,$156BBE,0,$10,World 7 Map
0,8,$156CDF,0,$10,World 8 Map
0,9,$156F20,0,$10,Warp Zone
1,1,$12212E,$13ECD7,$1,World 1-1
1,2,$123C90,$13EE5A,$3,World 1-2
1,3,$121498,$13EA9E,$1,World 1-3
1,4,$127886,$13F3E3,$4,World 1-4
1,5,$124BD3,$13F0BD,$E,World 1-5
1,6,$127777,$13F3BD,$4,World 1-6
1,7,$130FD4,$13FAD8,$2,World 1-Dungeon
1,8,$12769E,$13F395,$C,World 1-Secret
1,9,$133C4F,$13FE97,$A,World 1-Ship
1,10,$12222E,$13E7B6,$1,World 1-1 Bonus Area
1,11,$121FBA,$13E7B6,$1,World 1-2 Bonus Area
1,12,$12C0DB,$13F782,$D,World 1-3 Bonus Area
1,13,$122400,$13ED34,$1,World 1-4 Ending
1,14,$12C3F8,$13F7DC,$D,World 1-5 Bonus
1,15,$122329,$13ED10,$1,World 1-5 Ending
1,16,$131099,$13FB01,$2,World 1-Dungeon Spike Room
1,17,$127752,$13F3B8,$C,World 1-Secret Ending
1,18,$1348D2,$14017E,$A,World 1-Ship Boss Room
1,19,$124136,$13EEDB,$3,World 1-Hammer Bros 1
1,20,$124154,$13EEDB,$3,World 1-Hammer Bros 2
1,21,$130EA3,$13FA5F,$2,World 1-End Castle
1,22,$133A9C,$13FE4C,$A,World 1-Anchors Away
1,23,$1349B3,$14019C,$A,World 1-Coin Ship
1,24,$134A5D,$1401A7,$A,World 1-Coin Ship Boss Room
2,1,$12E775,$13F939,$9,World 2-1
2,2,$12462D,$13F045,$3,World 2-2
2,3,$12EB20,$13F9A0,$9,World 2-3
2,4,$12EE5C,$13FA0F,$9,World 2-4
2,5,$12E970,$13F971,$9,World 2-5
2,6,$12EC96,$13F9D2,$9,World 2-Dungeon
2,7,$12436C,$13EFF3,$3,World 2-Quicksand
2,8,$1231CA,$13ED6C,$3,World 2-Pyramid
2,9,$133D47,$13FEC6,$A,World 2-Ship
2,10,$12E8CA,$13E7B6,$9,World 2-1 Bonus Area
2,11,$12F0AA,$13FA55,$9,World 2-2 Ending
2,12,$12F0BE,$13FA5A,$9,World 2-3 Ending
2,13,$12EA8A,$13E7B6,$9,World 2-5 Bonus Area
2,14,$12EDDC,$13FA04,$9,World 2-Dungeon Spike Room
2,15,$12E25A,$13F8A7,$9,World 2-Pyramid Outside Area
2,16,$1348EF,$140183,$A,World 2-Ship Boss Room
2,17,$1239A7,$13E7B2,$3,World 2-Hidden Hammer Bros
2,18,$12E51C,$13F8FD,$9,World 2-Hammer Bros 1
2,19,$12E51C,$13F8F2,$9,World 2-Hammer Bros 2
2,20,$124F00,$13E8F3,$E,World 2-Pipe 1 End 1
2,21,$124F5B,$13E8F3,$E,World 2-Pipe 1 End 2
2,22,$130E3F,$13FA5F,$2,World 2-End Castle
2,23,$133A9C,$13FE4C,$A,World 2-Anchors Away
3,1,$129989,$13F5D5,$6,World 3-1
3,2,$126CA8,$13F1D3,$4,World 3-2
3,3,$122422,$13ED3E,$1,World 3-3
3,4,$125BAE,$13F16E,$E,World 3-4
3,5,$1296C8,$13F59B,$6,World 3-5
3,6,$126DF8,$13F213,$4,World 3-6
3,7,$121EB8,$13EC1E,$1,World 3-7
3,8,$124DCA,$13F104,$E,World 3-8
3,9,$121762,$13EB3F,$1,World 3-9
3,10,$1311F3,$13FB43,$2,World 3-Dungeon #1
3,11,$1310E9,$13FB12,$2,World 3-Dungeon #2
3,12,$133EA9,$13FEFE,$A,World 3-Ship
3,13,$121F9F,$13EC5F,$1,World 3-1 Ending
3,14,$126D85,$13F208,$4,World 3-2 Ending
3,15,$122527,$13ED67,$1,World 3-3 Ending
3,16,$1254A6,$13F12D,$E,World 3-5 Bonus Area **** UHB POINTER 10F15C
3,17,$12157B,$13EACD,$1,World 3-5 Ending
3,18,$126EC1,$13F236,$4,World 3-6 Ending
3,19,$12B99D,$13F639,$D,World 3-7 Bonus Area
3,20,$1222F6,$13ED0B,$1,World 3-8 Ending
3,21,$1B2A4,$C994,$E,World 3-9 Bonus Area ****UNKNOWN****
3,22,$121934,$13EB83,$1,World 3-9 Ending
3,23,$1312B5,$13FB75,$2,World 3-Dungeon #1 Water Room
3,24,$13117C,$13FB2F,$2,World 3-Dungeon #2 Water Room
3,25,$134915,$140188,$A,World 3-Ship Boss Room
3,26,$1219EE,$13EDF0,$1,World 3-Hammer Bros Land
3,27,$122399,$13EDF0,$1,World 3-Hammer Bros Water
3,28,$1223BA,$13EDF0,$1,World 3-Hammer Bros 3 Water +
3,29,$122399,$13EDF0,$1,World 3-Hammer Bros 4 Land +
3,30,$124136,$13EEDB,$3,World 3-Hidden Hammer Bros
3,32,$1AF9A,$C159,$E,World 3-Pipe 1 End 1 ****UNKNOWN**** 125090
3,31,$1AFF8,$C159,$E,World 3-Pipe 1 End 2 ****UNKNOWN****
3,33,$1AE50,$C15E,$E,World 3-Pipe 2 End 1 ****UNKNOWN****
3,34,$1AEAD,$C15E,$E,World 3-Pipe 2 End 2 ****UNKNOWN****
3,35,$1AF0A,$C163,$E,World 3-Pipe 3 End 1 ****UNKNOWN****
3,36,$1AF52,$C163,$E,World 3-Pipe 3 End 2 ****UNKNOWN****
3,36,$2A810,$D2C0,$2,World 3-End Castle ****UNKNOWN****
3,36,$2EC29,$D6AD,$A,World 3-Anchors Away ****UNKNOWN****
4,1,$12B9C7,$13F647,$B,World 4-1
4,2,$12BD3A,$13F6C4,$B,World 4-2
4,3,$124438,$13F013,$3,World 4-3
4,4,$12BEFA,$13F769,$B,World 4-4
4,5,$12C2B5,$13F79C,$B,World 4-5
4,6,$1211E9,$13EA07,$1,World 4-6
